sep=,
"Time","w"
s,rad/s
1.8700000000000E+00,1.1197964379161E+03
1.8800000000000E+00,1.1199553438828E+03
1.8900000000000E+00,1.1201097870311E+03
1.9000000000000E+00,1.1202598926978E+03
1.9100000000000E+00,1.1204057826994E+03
1.9200000000000E+00,1.1205475754315E+03
1.9300000000000E+00,1.1206853859644E+03
1.9400000000000E+00,1.1208193261369E+03
1.9500000000000E+00,1.1209495046465E+03
1.9600000000000E+00,1.1210760271383E+03
1.9700000000000E+00,1.1211989962903E+03
1.9800000000000E+00,1.1213185118967E+03
1.9900000000000E+00,1.1214346709493E+03
2.0000000000000E+00,1.1215475677156E+03
