sep=,
"Time","w"
s,rad/s
1.8800000000000E+00,1.1035196422007E+03
1.8900000000000E+00,1.1035709105806E+03
1.9000000000000E+00,1.1036203938418E+03
1.9100000000000E+00,1.1036681541405E+03
1.9200000000000E+00,1.1037142514687E+03
1.9300000000000E+00,1.1037587437296E+03
1.9400000000000E+00,1.1038016868101E+03
1.9500000000000E+00,1.1038431346514E+03
1.9600000000000E+00,1.1038831393162E+03
1.9700000000000E+00,1.1039217510547E+03
1.9800000000000E+00,1.1039590183674E+03
1.9900000000000E+00,1.1039949880659E+03
2.0000000000000E+00,1.1040297053319E+03
